Date,Chase,Bank of America,Citibank,Wells Fargo,Quarter,Share of Consolidated Assets,Total Assets,Big Four Assets
9/30/2003,6.38E+11,6.25E+11,5.55E+11,2.24E+11,q3-2003,30.63%,6.66E+12,2.04E+12
12/31/2003,6.29E+11,6.18E+11,5.82E+11,2.50E+11,q4-2003,30.72%,6.77E+12,2.08E+12
3/31/2004,6.49E+11,6.91E+11,6.06E+11,3.48E+11,q1-2004,32.81%,6.98E+12,2.29E+12
6/30/2004,6.55E+11,7.07E+11,6.48E+11,3.65E+11,q2-2004,32.96%,7.22E+12,2.38E+12
9/30/2004,6.62E+11,7.41E+11,6.51E+11,3.63E+11,q3-2004,32.66%,7.41E+12,2.42E+12
12/31/2004,9.67E+11,7.72E+11,6.95E+11,3.66E+11,q4-2004,37.04%,7.56E+12,2.80E+12
3/31/2005,9.83E+11,8.38E+11,6.85E+11,3.67E+11,q1-2005,37.08%,7.74E+12,2.87E+12
6/30/2005,9.73E+11,1.05E+12,7.05E+11,3.64E+11,q2-2005,39.21%,7.88E+12,3.09E+12
9/30/2005,1.01E+12,1.06E+12,7.05E+11,3.80E+11,q3-2005,39.25%,8.05E+12,3.16E+12
12/31/2005,1.01E+12,1.08E+12,7.06E+11,4.03E+11,q4-2005,39.12%,8.18E+12,3.20E+12
3/31/2006,1.09E+12,1.10E+12,7.49E+11,4.16E+11,q1-2006,39.67%,8.47E+12,3.36E+12
6/30/2006,1.14E+12,1.16E+12,7.77E+11,4.16E+11,q2-2006,39.93%,8.74E+12,3.49E+12
9/30/2006,1.17E+12,1.19E+12,8.16E+11,4.01E+11,q3-2006,40.32%,8.88E+12,3.58E+12
12/31/2006,1.18E+12,1.20E+12,1.02E+12,3.99E+11,q4-2006,41.39%,9.18E+12,3.80E+12
3/31/2007,1.22E+12,1.20E+12,1.08E+12,3.97E+11,q1-2007,42.30%,9.22E+12,3.90E+12
6/30/2007,1.25E+12,1.25E+12,1.13E+12,4.29E+11,q2-2007,42.74%,9.50E+12,4.06E+12
9/30/2007,1.24E+12,1.29E+12,1.23E+12,4.45E+11,q3-2007,42.74%,9.85E+12,4.21E+12
12/31/2007,1.32E+12,1.31E+12,1.25E+12,4.68E+11,q4-2007,42.65%,1.02E+13,4.35E+12
3/31/2008,1.41E+12,1.36E+12,1.29E+12,4.87E+11,q1-2008,43.33%,1.05E+13,4.55E+12
6/30/2008,1.38E+12,1.33E+12,1.23E+12,5.03E+11,q2-2008,42.29%,1.05E+13,4.44E+12
9/30/2008,1.77E+12,1.36E+12,1.21E+12,5.15E+11,q3-2008,43.78%,1.11E+13,4.86E+12
12/31/2008,1.75E+12,1.47E+12,1.23E+12,5.39E+11,q4-2008,43.77%,1.14E+13,4.99E+12
3/31/2009,1.69E+12,1.43E+12,1.14E+12,5.52E+11,q1-2009,43.33%,1.11E+13,4.81E+12
6/30/2009,1.66E+12,1.45E+12,1.17E+12,5.40E+11,q2-2009,43.82%,1.10E+13,4.82E+12
9/30/2009,1.67E+12,1.46E+12,1.19E+12,5.48E+11,q3-2009,43.87%,1.11E+13,4.87E+12
12/31/2009,1.63E+12,1.47E+12,1.16E+12,6.09E+11,q4-2009,44.27%,1.10E+13,4.87E+12
3/31/2010,1.67E+12,1.50E+12,1.17E+12,1.07E+12,q1-2010,47.88%,1.13E+13,5.41E+12
6/30/2010,1.57E+12,1.52E+12,1.16E+12,1.07E+12,q2-2010,47.50%,1.12E+13,5.32E+12
9/30/2010,1.64E+12,1.49E+12,1.21E+12,1.07E+12,q3-2010,47.88%,1.13E+13,5.41E+12
12/31/2010,1.63E+12,1.48E+12,1.15E+12,1.10E+12,q4-2010,47.43%,1.13E+13,5.36E+12
3/31/2011,1.72E+12,1.45E+12,1.16E+12,1.09E+12,q1-2011,47.54%,1.14E+13,5.42E+12
6/30/2011,1.79E+12,1.45E+12,1.22E+12,1.10E+12,q2-2011,47.93%,1.16E+13,5.56E+12
9/30/2011,1.83E+12,1.47E+12,1.30E+12,1.14E+12,q3-2011,48.64%,1.18E+13,5.74E+12
12/31/2011,1.81E+12,1.45E+12,1.29E+12,1.16E+12,q4-2011,47.98%,1.19E+13,5.71E+12
3/31/2012,1.84E+12,1.45E+12,1.31E+12,1.18E+12,q1-2012,48.17%,1.20E+13,5.78E+12
6/30/2012,1.81E+12,1.45E+12,1.35E+12,1.18E+12,q2-2012,47.85%,1.21E+13,5.79E+12
9/30/2012,1.85E+12,1.45E+12,1.37E+12,1.22E+12,q3-2012,47.89%,1.23E+13,5.89E+12
12/31/2012,1.90E+12,1.47E+12,1.31E+12,1.27E+12,q4-2012,47.22%,1.26E+13,5.95E+12
3/31/2013,1.95E+12,1.46E+12,1.31E+12,1.27E+12,q1-2013,47.54%,1.26E+13,5.99E+12
6/30/2013,1.95E+12,1.43E+12,1.32E+12,1.28E+12,q2-2013,47.46%,1.26E+13,5.98E+12
9/30/2013,1.99E+12,1.44E+12,1.34E+12,1.33E+12,q3-2013,47.66%,1.28E+13,6.10E+12
12/31/2013,1.95E+12,1.43E+12,1.35E+12,1.37E+12,q4-2013,47.29%,1.29E+13,6.10E+12
3/31/2014,1.97E+12,1.46E+12,1.36E+12,1.39E+12,q1-2014,47.18%,1.31E+13,6.18E+12
6/30/2014,2.00E+12,1.45E+12,1.38E+12,1.44E+12,q2-2014,46.79%,1.34E+13,6.27E+12
9/30/2014,2.01E+12,1.52E+12,1.38E+12,1.48E+12,q3-2014,46.99%,1.36E+13,6.39E+12
12/31/2014,2.07E+12,1.57E+12,1.36E+12,1.53E+12,q4-2014,47.32%,1.38E+13,6.53E+12
3/31/2015,2.10E+12,1.60E+12,1.34E+12,1.57E+12,q1-2015,47.21%,1.40E+13,6.61E+12
6/30/2015,1.97E+12,1.61E+12,1.34E+12,1.55E+12,q2-2015,46.21%,1.40E+13,6.47E+12
9/30/2015,1.95E+12,1.62E+12,1.34E+12,1.58E+12,q3-2015,46.03%,1.41E+13,6.49E+12
12/31/2015,1.91E+12,1.64E+12,1.30E+12,1.61E+12,q4-2015,45.49%,1.42E+13,6.46E+12
3/31/2016,2.02E+12,1.65E+12,1.34E+12,1.67E+12,q1-2016,46.07%,1.45E+13,6.68E+12
6/30/2016,2.05E+12,1.66E+12,1.37E+12,1.70E+12,q2-2016,45.81%,1.48E+13,6.78E+12
9/30/2016,2.12E+12,1.66E+12,1.36E+12,1.74E+12,q3-2016,45.87%,1.50E+13,6.88E+12
12/31/2016,2.08E+12,1.68E+12,1.35E+12,1.73E+12,q4-2016,45.60%,1.50E+13,6.84E+12
3/31/2017,2.14E+12,1.71E+12,1.37E+12,1.75E+12,q1-2017,45.86%,1.52E+13,6.97E+12
6/30/2017,2.15E+12,1.71E+12,1.40E+12,1.73E+12,q2-2017,45.69%,1.53E+13,6.99E+12
9/30/2017,2.15E+12,1.73E+12,1.41E+12,1.74E+12,q3-2017,45.65%,1.54E+13,7.03E+12
12/31/2017,2.14E+12,1.75E+12,1.38E+12,1.75E+12,q4-2017,45.00%,1.56E+13,7.02E+12
3/31/2018,2.20E+12,1.77E+12,1.41E+12,1.72E+12,q1-2018,45.22%,1.57E+13,7.10E+12
6/30/2018,2.17E+12,1.76E+12,1.40E+12,1.68E+12,q2-2018,44.37%,1.58E+13,7.01E+12
9/30/2018,2.19E+12,1.80E+12,1.42E+12,1.67E+12,q3-2018,44.53%,1.59E+13,7.08E+12
12/31/2018,2.22E+12,1.78E+12,1.41E+12,1.69E+12,q4-2018,44.10%,1.61E+13,7.10E+12
3/31/2019,2.29E+12,1.78E+12,1.43E+12,1.67E+12,q1-2019,43.99%,1.63E+13,7.17E+12
6/30/2019,2.35E+12,1.79E+12,1.46E+12,1.70E+12,q2-2019,44.24%,1.65E+13,7.30E+12
9/30/2019,2.37E+12,1.81E+12,1.47E+12,1.71E+12,q3-2019,44.07%,1.67E+13,7.36E+12
12/31/2019,2.34E+12,1.85E+12,1.45E+12,1.71E+12,q4-2019,43.49%,1.69E+13,7.35E+12
3/31/2020,2.69E+12,2.03E+12,1.63E+12,1.76E+12,q1-2020,44.08%,1.84E+13,8.11E+12
6/30/2020,2.82E+12,2.16E+12,1.63E+12,1.80E+12,q2-2020,43.58%,1.93E+13,8.41E+12
9/30/2020,2.87E+12,2.16E+12,1.65E+12,1.75E+12,q3-2020,43.68%,1.93E+13,8.43E+12
12/31/2020,3.03E+12,2.26E+12,1.66E+12,1.77E+12,q4-2020,43.82%,1.99E+13,8.72E+12
3/31/2021,3.21E+12,2.32E+12,1.68E+12,1.77E+12,q1-2021,43.80%,2.05E+13,8.98E+12
6/30/2021,3.19E+12,2.35E+12,1.69E+12,1.78E+12,q2-2021,43.32%,2.08E+13,9.01E+12
9/30/2021,3.29E+12,2.40E+12,1.70E+12,1.79E+12,q3-2021,43.30%,2.12E+13,9.18E+12
12/31/2021,3.31E+12,2.52E+12,1.67E+12,1.78E+12,q4-2021,42.96%,2.16E+13,9.28E+12
3/31/2022,3.48E+12,2.51E+12,1.72E+12,1.76E+12,q1-2022,43.24%,2.19E+13,9.47E+12
6/30/2022,3.38E+12,2.44E+12,1.72E+12,1.71E+12,q2-2022,42.63%,2.17E+13,9.25E+12
9/30/2022,3.31E+12,2.41E+12,1.71E+12,1.71E+12,q3-2022,42.31%,2.16E+13,9.14E+12
12/31/2022,3.20E+12,2.42E+12,1.77E+12,1.72E+12,q4-2022,41.98%,2.17E+13,9.11E+12
3/31/2023,3.27E+12,2.52E+12,1.72E+12,1.69E+12,q1-2023,42.20%,2.18E+13,9.20E+12
