Column1,ID_RSSD_PREDECESSOR,ID_RSSD_SUCCESSOR,D_DT_TRANS,Transformation Code,Accounting Method,DT_TRANS,Year,Predecessor_Name,Successor_Name,Notes
9503,1027143,451965,2/1/2012 0:00,Charter Discontinued,Merger,20120201,2012,"WELLS FARGO AUTO FINANCE, LLC",Wells Fargo,"WELLS FARGO AUTO FINANCE, LLC transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10341,2575052,451965,7/15/2011 0:00,Charter Discontinued,Merger,20110715,2011,"FIRST UNION FINANCIAL INVESTMENTS, LLC",Wells Fargo,"FIRST UNION FINANCIAL INVESTMENTS, LLC transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10344,3536537,451965,7/15/2011 0:00,Charter Discontinued,Merger,20110715,2011,WES HOLDING CORPORATION,Wells Fargo,"WES HOLDING CORPORATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10398,1079544,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,SOUTHTRUST MORTGAGE CORPORATION,Wells Fargo,"SOUTHTRUST MORTGAGE CORPORATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10399,1117660,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,MERIDIAN MORTGAGE CORPORATION,Wells Fargo,"MERIDIAN MORTGAGE CORPORATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10410,3144576,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"WELLS FARGO FINANCIAL MISSISSIPPI 2, INC.",Wells Fargo,"WELLS FARGO FINANCIAL MISSISSIPPI 2, INC. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10411,3144585,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"WELLS FARGO FINANCIAL MISSISSIPPI, INC.",Wells Fargo,"WELLS FARGO FINANCIAL MISSISSIPPI, INC. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10415,3431100,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"WELLS FARGO DEALER SERVICES, INC.",Wells Fargo,"WELLS FARGO DEALER SERVICES, INC. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10419,3846478,451965,7/1/2011 0:00,Charter Discontinued,Merger,20110701,2011,"WELLS FARGO TRADE CAPITAL, LLC",Wells Fargo,"WELLS FARGO TRADE CAPITAL, LLC transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10501,1073560,451965,5/6/2011 0:00,Charter Discontinued,Merger,20110506,2011,WACHOVIA MORTGAGE CORPORATION,Wells Fargo,"WACHOVIA MORTGAGE CORPORATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10630,89162,451965,3/31/2011 0:00,Charter Discontinued,Merger,20110331,2011,WELLS FARGO CENTRAL BANK,Wells Fargo,"WELLS FARGO CENTRAL BANK transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10684,3308332,451965,3/1/2011 0:00,Charter Discontinued,Merger,20110301,2011,"WACHOVIA HOLDINGS, INC.",Wells Fargo,"WACHOVIA HOLDINGS, INC. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10819,2876133,451965,1/1/2011 0:00,Charter Discontinued,Merger,20110101,2011,"WACHOVIA SHARED RESOURCES, LLC",Wells Fargo,"WACHOVIA SHARED RESOURCES, LLC transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10851,761374,451965,12/31/2010 0:00,Charter Discontinued,Purchase/Acquisition,20101231,2010,"WACHOVIA FINANCIAL SERVICES, INC.",Wells Fargo,"WACHOVIA FINANCIAL SERVICES, INC. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
10977,3184590,451965,11/6/2010 0:00,Charter Discontinued,Merger,20101106,2010,"WELLS FARGO RETAIL FINANCE, LLC",Wells Fargo,"WELLS FARGO RETAIL FINANCE, LLC transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
11009,3223695,451965,11/1/2010 0:00,Charter Discontinued,Merger,20101101,2010,"WELLS FARGO ALASKA TRUST COMPANY, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO ALASKA TRUST COMPANY, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
11119,3252529,451965,10/1/2010 0:00,Charter Discontinued,Merger,20101001,2010,"METROPOLITAN WEST SECURITIES, LLC",Wells Fargo,"METROPOLITAN WEST SECURITIES, LLC transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
11203,2722856,451965,8/21/2010 0:00,Charter Discontinued,Merger,20100821,2010,WELLS FARGO EDUCATION FINANCE INC.,Wells Fargo,"WELLS FARGO EDUCATION FINANCE INC. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
11275,3308323,451965,7/15/2010 0:00,Charter Discontinued,Merger,20100715,2010,"CALIBRE ADVISORY SERVICES, INC.",Wells Fargo,"CALIBRE ADVISORY SERVICES, INC. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
11425,2332808,451965,5/10/2010 0:00,Charter Discontinued,Merger,20100510,2010,"WELLS FARGO HSBC TRADE BANK, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO HSBC TRADE BANK, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
11505,3550131,451965,4/10/2010 0:00,Charter Discontinued,Merger,20100410,2010,"WACHOVIA CARD SERVICES, NATIONAL ASSOCIATION",Wells Fargo,"WACHOVIA CARD SERVICES, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
11558,484422,451965,3/20/2010 0:00,Charter Discontinued,Merger,20100320,2010,"WACHOVIA BANK, NATIONAL ASSOCIATION",Wells Fargo,"WACHOVIA BANK, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
11561,1224812,451965,3/20/2010 0:00,Charter Discontinued,Merger,20100320,2010,"WACHOVIA BANK OF DELAWARE, NATIONAL ASSOCIATION",Wells Fargo,"WACHOVIA BANK OF DELAWARE, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
11934,1157433,451965,11/1/2009 0:00,Charter Discontinued,Merger,20091101,2009,"WACHOVIA MORTGAGE, F.S.B.",Wells Fargo,"WACHOVIA MORTGAGE, F.S.B. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
12476,896566,451965,4/25/2009 0:00,Charter Discontinued,Merger,20090425,2009,"CENTURY BANK, NATIONAL ASSOCIATION",Wells Fargo,"CENTURY BANK, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
12632,363956,451965,2/2/2009 0:00,Charter Discontinued,Merger,20090202,2009,WELLS FARGO FINANCIAL BANK,Wells Fargo,"WELLS FARGO FINANCIAL BANK transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
12730,2383882,451965,1/1/2009 0:00,Charter Discontinued,Merger,20090101,2009,"WELLS FARGO BANK GRAND JUNCTION-DOWNTOWN, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK GRAND JUNCTION-DOWNTOWN, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
12731,2383903,451965,1/1/2009 0:00,Charter Discontinued,Merger,20090101,2009,"WELLS FARGO BANK GRAND JUNCTION, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK GRAND JUNCTION, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
12885,309758,451965,12/6/2008 0:00,Charter Discontinued,Purchase/Acquisition,20081206,2008,FARMERS STATE BANK OF FORT MORGAN,Wells Fargo,"FARMERS STATE BANK OF FORT MORGAN transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
13058,14258,451965,10/18/2008 0:00,Charter Discontinued,Merger,20081018,2008,JACKSON STATE BANK & TRUST,Wells Fargo,"JACKSON STATE BANK & TRUST, THE transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
13059,20259,451965,10/18/2008 0:00,Charter Discontinued,Merger,20081018,2008,FIRST STATE BANK OF PINEDALE,Wells Fargo,"FIRST STATE BANK OF PINEDALE transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
13060,555658,451965,10/18/2008 0:00,Charter Discontinued,Merger,20081018,2008,SHERIDAN STATE BANK,Wells Fargo,"SHERIDAN STATE BANK transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
13061,884059,451965,10/18/2008 0:00,Charter Discontinued,Merger,20081018,2008,SHOSHONE FIRST BANK,Wells Fargo,"SHOSHONE FIRST BANK transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
13375,3446766,451965,7/1/2008 0:00,Charter Discontinued,Purchase/Acquisition,20080701,2008,UNITED BANK OF IDAHO,Wells Fargo,"UNITED BANK OF IDAHO transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
13633,1156539,451965,3/15/2008 0:00,Charter Discontinued,Merger,20080315,2008,"GREATER BAY BANK, NATIONAL ASSOCIATION",Wells Fargo,"GREATER BAY BANK, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
14140,33772,451965,9/22/2007 0:00,Charter Discontinued,Merger,20070922,2007,PLACER SIERRA BANK,Wells Fargo,"PLACER SIERRA BANK transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
14538,3442290,451965,5/11/2007 0:00,Charter Discontinued,Merger,20070511,2007,COMMERCE FUNDING CORPORATION,Wells Fargo,"COMMERCE FUNDING CORPORATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
15323,625355,451965,9/23/2006 0:00,Charter Discontinued,Merger,20060923,2006,FREMONT NATIONAL BANK OF CANON CITY,Wells Fargo,"FREMONT NATIONAL BANK OF CANON CITY transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
15324,701651,451965,9/23/2006 0:00,Charter Discontinued,Merger,20060923,2006,CENTENNIAL BANK OF PUEBLO,Wells Fargo,"CENTENNIAL BANK OF PUEBLO transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
15562,821951,451965,6/17/2006 0:00,Charter Discontinued,Merger,20060617,2006,STATE BANK OF ROGERS,Wells Fargo,"STATE BANK OF ROGERS transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
16439,2328230,451965,9/24/2005 0:00,Charter Discontinued,Purchase/Acquisition,20050924,2005,"FIRST COMMUNITY BANK, N.A.",Wells Fargo,"FIRST COMMUNITY BANK, N.A. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
16544,1146101,451965,8/1/2005 0:00,Charter Discontinued,Merger,20050801,2005,"WELLS FARGO BUSINESS CREDIT, INC.",Wells Fargo,"WELLS FARGO BUSINESS CREDIT, INC. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
17861,1632332,451965,5/8/2004 0:00,Charter Discontinued,Merger,20040508,2004,"WELLS FARGO HOME MORTGAGE, INC.",Wells Fargo,"WELLS FARGO HOME MORTGAGE, INC. transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
17920,882671,451965,4/24/2004 0:00,Charter Discontinued,Merger,20040424,2004,PACIFIC NORTHWEST BANK,Wells Fargo,"PACIFIC NORTHWEST BANK transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
17936,1120772,451965,4/16/2004 0:00,Charter Discontinued,Merger,20040416,2004,WELLS FARGO SERVICES COMPANY,Wells Fargo,"WELLS FARGO SERVICES COMPANY transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
18093,49362,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"WELLS FARGO BANK ARIZONA, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK ARIZONA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
18094,239323,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"WELLS FARGO BANK OHIO, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK OHIO, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
18096,352558,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"WELLS FARGO BANK MICHIGAN, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK MICHIGAN, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
18097,417448,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"WELLS FARGO BANK INDIANA, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK INDIANA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
18098,428752,451965,2/20/2004 0:00,Charter Discontinued,Merger,20040220,2004,"WELLS FARGO BANK SOUTH DAKOTA, NATIONAL ASSOCIATION",Wells Fargo,"WELLS FARGO BANK SOUTH DAKOTA, NATIONAL ASSOCIATION transferred its assets to one or more institutions including WELLS FARGO BANK, NATIONAL ASSOCIATION. "
